a1,a2,a3,a4,a5,a6,a7,label
0.51,-1.63,1.24,0.04,0.19,-0.39,18649715.6,1
0.09,5.74,0.73,0.25,0.39,0.24,15140854.29,1
0.14,2.52,0.68,0.13,0.27,0.18,23251002.86,1
0.15,6.37,0.72,0.04,0.48,0.1,14615860.57,1
0.12,4.77,0.78,0.16,0.2,0.14,23732642.86,1
0.42,2.24,0.55,0.07,0.31,0,13715867.04,1
0.11,-0.11,0.97,0.39,0.08,-0.33,13367863.34,1
0.12,3.68,0.67,0.1,0.34,0.23,10407043.4,1
0.28,-0.9,0.54,0.59,0.17,0.07,51907853.19,1
0.31,4.69,0.76,0.02,0.62,0.05,10782086.8,1
0.28,-2.62,0.88,0.13,0.01,-0.08,32366784.76,1
0.02,2.54,0.87,0.02,0.23,0.01,10246161.9,1
0.44,1.92,0.88,0.01,0.12,0.04,40172870.48,1
0.12,7.37,0.74,0.03,0.34,0.18,27483487.62,1
0.08,5.39,0.81,0.07,0.24,0.1,26223813.33,1
0.36,3.7,0.76,0.34,0.47,0.04,7271619.58,1
0.3,2.17,0.85,0.03,0.19,0.03,8174032.38,1
1.24,-2.36,0.94,0.03,0.05,0.02,9938795.24,1
0.02,-15.01,2.16,0.54,-1.55,-3.55,8213677.14,1
2.6,-4.04,0.99,0.02,0.02,-0.04,21565714.29,1
0,1.07,0.9,0,0.11,0.03,14982857.14,1
0.05,0.01,0.93,0.06,0.13,-0.19,8769429.52,1
0.18,2.27,0.86,0.02,0.1,0.03,11785711.43,1
0.23,6.73,0.84,0.03,0.37,0.09,6586334.26,1
0.21,1.2,1.02,0.12,0.19,-0.11,14176359.05,1
0.21,6.31,0.88,0.01,0.09,0.05,23568817.14,1
0.25,-1.67,1.04,0.06,-0.18,-0.37,7246219.05,1
0.02,3.38,0.75,0,0.1,0.13,12539497.14,1
0.12,-12.52,0.66,0.18,-0.31,-3.19,6876813.33,1
5.72,1.4,0.85,0,0.05,0.05,13273749.52,1
0.42,2.57,0.82,0.14,0.85,-0.04,10647510.48,1
0.03,3.62,0.8,0.3,0.31,0.09,12475409.97,1
0.06,4.36,0.62,0.17,0.88,0.27,12099819.02,1
